"* Required Fields","* Campos Requeridos"
"Go to Address Book","Ir a la Libreta de direcciones"
"Grand Total","Total"
"Grand Total: %s","Total: %s"
"Group","Grupo"
"Group ""%s"" can not be deleted","Grupo ""%s"" no puede ser eliminado"
"Group Information","Información de Grupo"
"Group Name","Nombre del Grupo"
"Guest","Invitado"
"HTML","HTML"
"Hello, %s!","¡Hola %s!"
"ID","ID"
"IP Address","Dirección IP"
"If you have an account with us, please log in.","Si usted tiene una cuenta con nosotros inicie su sesión."
"Invalid attribute option specified for attribute %s (%s), skipping the record","Opción de atributo inválida especificado para el atributo %s (%s), registro omitido"
"Invalid attribute set specified, skipping the record","conjunto inválido de atributo especificado, registro omitido"
"Invalid current password","Contraseña inválida"
"Invalid customer data","Datos de los clientes Inválidos"
"Invalid email address","Dirección de email inválida"
"Invalid email address ""%s""","Dirección de email inválida ""%s"""
"Invalid login or password.","Registro o contraseña inválido."
"Invalid option id specified for %s (%s), skipping the record","Opción inválida de id especificada para %s (%s), registro omitido"
"Invalid store specified, skipping the record","Tienda especificada inválida, registro omitido"
"Items Order","Artículos del pedido"
"Last 5 Orders","Últimos 5 pedidos"
"Last Activity","Última actividad"
"Last Name","Apellido"
"Last Url","Última Url"
"Last Viewed Items","Últimos artículos vistos"
"Last date subscribed","Última fecha suscrita"
"Last date unsubscribed","Última fecha de baja"
"Last name can't be empty","No puede dejar vacío el apellido"
"Leave empty for default (15 minutes).","(15 minutos) predeterminados si deja vacio."
"Leave empty for default (2). Valid range: 1-4","(2) predeterminado si deja vacío. Rango válido: 1-4"
"Lifetime Sales","Tiempo de vida de venta"
"Log In","Iniciar sesión"
"Log Out","Salir"
"Log in or Create an Account","Crear una cueta o iniciar sesión"
"Login","Iniciar Sesión"
"Login Information","Información de Inicio de Sesión"
"Login and password are required","Iniciar sesión y contraseña son requeridos"
"Login or Create an Account","Iniciar sesión ó crear una cuenta"
"M.I.","M.I."
"MM","MM"
"Manage Addresses","Administración de domicilios"
"Manage Customers","Administración de clientes"
"Middle Name","Segundo nombre"
"Missing email, skipping the record","Email faltante, registro omitido"
"Missing firstname, skipping the record","Nombre faltante, registro omitido"
"Missing lastname, skipping the record","Apellido faltante, registro omitido"
"Month","Mes"
"My Account","Mi cuenta"
"My Account Dashboard","Mi cuenta de Panel de control"
"My Dashboard","Mi Panel de control"
"My Orders","Mis pedidos"
"My Reviews","Mis comentarios"
"My Tags","Mis etiquetas"
"My Wishlist","Mi lista de deseos"
"Name","Nombre"
"Name and Address Options","Opciones de nombre y domicilio"
"Never","Nunca"
"New Address","Nuevo domicilio"
"New Address Entry","Domicilio nuevo de ingreso"
"New Customer","Cliente nuevo"
"New Customer Address","Domicilio nuevo de cliente"
"New Customer Group","Grupo de clientes nuevo"
"New Customer Groups","Grupos de Clientes Nuevos"
"New Customers","Clientes Nuevos"
"New Group","Grupo Nuevo"
"New Password","Contraseña Nueva"
"New account","Cuenta Nueva"
"New account confirmation key","Clave para Cuenta Nueva Confirmada"
"New account confirmed","Cuenta Nueva Confirmada"
"New password","Contraseña Nueva"
"Newsletter","Boletín de noticias"
"Newsletter Finish","Finalizar Noticia"
"Newsletter Information","Información de Noticia"
"Newsletter Received","Noticia Recibida"
"Newsletter Start","Iniciar Noticia"
"Newsletter Subscription","Suscripción a Noticias"
"Newsletters","Noticias"
"No Items Found","Artículos No Encontrados"
"No Newsletter Found","Noticia No Encontrada"
"No item specified.","Artículo sin especificar."
"No product collections found","producto de las colecciones no se encuentra"
"Not Sent","No Enviado"
"Not confirmed, can login","No confirmado, puede registrarse"
"Not confirmed, cannot login","No confirmado, no puede registrarse"
"Number of lines in a street address ","Número de lineas en la calle del domicilio"
"Offline","Desconectado"
"Online","Conectado"
"Online Customers","Los clientes Online"
"Online Customers Options","Opciones de clientes conectados"
"Online Minutes Interval","Intervalos en Minutos de Conexión"
"Order #","Pedido #"
"Order #%s (%s)","Pedido #%s (%s)"
"Order List...","Lista de Pedidos..."
"Order Total","Total del pedido"
"Orders","Pedidos"
"PDF","PDF"
"Password","Contraseña"
"Password Management","Administración de contraseña"
"Password Options","Opciones de contraseña"
"Password can't be empty","La contraseña no puede queda vacía"
"Password fields can't be empty.","El campo de la contraseña no puede queda vacio."
"Password forgotten","Contraseña Olvidada"
"Password minimal length must be more %s","El largo mínimo de la contraseña debe tener más %s"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","La contraseña debe tener al menos 6 caracteres. Espacios entre caracteres serán ignorados."
"Paused","Pausa"
"Payment Method","Método de Pago"
"Pending","Pendiente"
"Per Website","Por Sitio Web"
"Personal Information","Información Personal"
"Please enter your email below and we'll send you a new password.","Por favor, introduzca su Email más abajo y le enviaremos una contraseña nueva."
"Please enter your email below and we'll send you confirmation link for it.","Introduzca su email abajo por favor y le enviaremos un enlace de confirmación."
"Please enter your email.","Por favor, introduzca su Email."
"Please make sure your passwords match.","Por favor, asegúrese de que sus contraseñas coincidan."
"Please select","Seleccione, por favor"
"Please select region, state or province","Por favor seleccione la región, estado o provincia"
"Please, check your e-mail for confirmation key.","Revise su email para la clave de confirmación por favor."
"Prefix","Prefijo"
"Prefix dropdown options","Opciones de Prefijo para dropdown"
"Price","Precio"
"Primary Billing Address","Domicilio principal de facturación"
"Primary Shipping Address","Domicilio principal de envío"
"Problem saving the collection, aborting. Error: %s","Problema al guardar la colección, abortando. Error: %s"
"Product","Producto"
"Product ID","ID de Productos"
"Product Name","Nombre del Producto"
"Product Reviews","Comentarios de Productos"
"Product Tags","Etiquetas de Productos"
"Product name","Nombre del producto"
"Purchase On","Compra en"
"Purchased at","Comprado en"
"Qty","Cant."
"Recent Orders","Pedidos Recientes"
"Records for ""","Registros para """
"Refunded","Reembolso"
"Registered Customers","Clientes Registrados"
"Remove","Eliminar"
"Require Emails Confirmation","Requiere confirmación de email"
"Retrieve address data","Recuperar datos del domicilio"
"Retrieve address info","Recuperar información del domicilio"
"Retrieve customer addresses","Recuperar domicilio del cliente"
"Retrieve customer data","Recuperar datos del cliente"
"Retrieve customer's groups","Recuperar grupos de clientes"
"Retrieve customers","Recuperar clientes"
"Retrieve customers info","Recuperar información de clientes"
"Retrieve your confirmation link here","Recuperar enlace de confirmación aquí"
"Retrieve your password here","Recupera tu contraseña aquí"
"SKU","SKU"
"Sales Statistics","Estadísticas de Ventas"
"Save","Guardar"
"Save Address","Guardar domicilio"
"Save And Continue Edit","Save And Continue Edit"
"Save Customer","Guardar Cliente"
"Save Customer Group","Guardar Grupo de Clientes"
"Save Password","Guardar Contraseña"
"Saved ","Guardado"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Valores separados por semicolon (;).<br/>Poner semicolon al principio para la primer opción vacía.<br/>Dejar en blanco para abrir campo de texto."
"Send Welcome Email after Confirmation","Envíar email de bienvenida después de la confirmación"
"Send auto-generated password","Enviar contraseña generada automáticamente"
"Send confirmation link","Enviar enlace de confirmación"
"Send welcome email","Enviar email de bienvenida"
"Sending","Enviar"
"Sent","Enviado"
"Session Start Time","Tiempo de inicio de sesión"
"Set as Default Billing Address","Establecer como predeterminado el domicilio de facturación"
"Set as Default Shipping Address","Establecer como predeterminado el domicilio de envío"
"Share Customer Accounts","Compartir Cuentas de Clientes"
"Ship to First name","Enviar por Nombre"
"Ship to Last name","Enviar por Apellido"
"Shipped to First Name","Enviado por Nombre"
"Shipped to Last Name","Enviado por Apellido"
"Shipped to Name","Enviado por Nombre"
"Shipping Information","Información de Envío"
"Shipping Method","Método de Envío"
"Shopping Cart","Carrito de Compras"
"Shopping Cart - %d item(s)","Carrito de Compras - %d artículo(s)"
"Show Tax/VAT number","Mostrar número de Impuestos/IVA"
"Show date of birth","Mostrar fecha de nacimiento"
"Show middle name (initial)","Mostrar segundo nombre (iniciales)"
"Show prefix","Mostrar prefijo"
"Show suffix","Mostrar sufijo"
"Sign Up for Newsletter","Regístrese para Recibir Noticias"
"Sign up for our newsletter","Suscríbase a nuestras noticias"
"Skip import row, required field ""%s"" not defined","Saltar renglón de importar, campo requerido ""%s"" sin definir"
"Skip import row, website ""%s"" field not exists","Saltar renglón de importar, sitio web ""%s"" campo no existe"
"State/Province","Estado/Provincia"
"Status","Estatus"
"Store","Tienda"
"Store View","Vista de Tienda"
"Street Address","Calle"
"Street Address ","Calle"
"Subject","Asunto"
"Submit","Enviar"
"Subscribe","Suscribir"
"Subscribe to newsletter","Suscríbase a noticias"
"Subscribed to Newsletter?","¿Se Suscribe a Noticias?"
"Suffix","Sufijo"
"Suffix dropdown options","Opciones de Sufijo dropdown"
"TAX/VAT number is required.","Número Impuestos/IVA es requerido."
"Tag Name","Nombre de etiqueta"
"Tax Class","Clase de Impuestos"
"Tax class","Clase de Impuestos"
"Tax/VAT number","Número Impuestos/IVA"
"Telephone","Teléfono"
"Text","Texto"
"Text One Line","Una línea de texto"
"Thank you for registering with %s","Gracias por registrarse con %s"
"The address does not belong to this customer","El domicilio no pertenece a este cliente"
"The address was successfully deleted","El domicilio se ha eliminado"
"The address was successfully saved","El domicilio se ha guardado"
"The suffix that goes after name (Jr., Sr., etc.)","El sufijo que va después del nombre (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","El título que va antes del nombre (Mr., Mrs., etc.)"
"There are no items in customer's wishlist at the moment","No hay ningún artículo en la lista de deseos del cliente por el momento"
"There are no items in customer's shopping cart at the moment","No hay ningún artículo en el carrito de compras del cliente por el momento"
"There was an error while deleting the address","Se ha producido un error mientras se eliminaba el domicilio"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","Este email será enviado en lugar del email de bienvenida predeterminado, después de la confirmación de la cuenta."
"This account is not confirmed.","Esta cuenta no esta confirmada."
"This customer has no saved addresses.","Este cliente no tiene direcciones guardadas."
"This e-mail does not require confirmation.","Este email no requiere ser confirmado."
"This email address was not found in our records","Esta dirección de email no se encuentra en nuestros registros"
"This is My Primary %s Address","Este es mi domicilio principal %s"
"To Cart","Para el carrito"
"Total","Total"
"Type","Tipo"
"Unknown","Desconocido"
"Unsubscribe from newsletter","Darse de baja del boletín de noticias"
"Update","Actualizar"
"Update customer address data","Actualizar datos del domicilio del cliente"
"Update customer data","Actualizar datos del cliente"
"Use as My Primary %s Address","Usar como mi domicilio principal %s"
"Use as my default billing address","Usar como mi domicilio de facturación predeterminado"
"Use as my default shipping address","Usar como mi domicilio de envío predeterminado"
"User description","Descripción de usuario"
"View","Ver"
"View Order","Ver Pedido"
"View Order List","Ver Lista de Pedido"
"Visible In","Visible En"
"Visitor","Visitantes"
"Visitors Only","Sólo Visitantes"
"Website","Sitio Web"
"Welcome Email","Email de bienvenida"
"Wishlist","Lista de Deseos"
"Wishlist - %d item(s)","Lista de Deseos -%d artículo(s)"
"Wrong confirmation key.","Clave de confirmación equivocada."
"Wrong customer account specified.","Cuenta de cliente especificada equivocada."
"Wrong email.","Email equivocado."
"Wrong region id by selected country","Región ID errónea para el país seleccionado"
"Wrong transactional account email type.","Tipo de cuenta de Email transaccional."
"XML","XML"
"YYYY","AAAA"
"Year","Año"
"You are currently not subscribed to any newsletter.","Actualmente no estás suscrito a ningún boletín de noticias."
"You are currently not subscribed to our newsletter","Actualmente no estás suscrito a nuestro boletín de noticias"
"You are currently subscribed to 'General Subscription'.","Suscripción: 'Suscripción general'."
"You are currently subscribed to our newsletter","Usted está suscrito a nuestro boletín de noticias"
"You are now logged out","Listo, cerraste tu sesión"
"You have logged out and will be redirected to our homepage in 5 seconds.","En cinco segundos te enviaremos a la página principal."
"You are currently subscribed to our newsletter.","Usted está suscrito a nuestro boletín de noticias."
"You have no additional address entries in your address book.","No tienes domicilios adicionales."
"You have no additional entries in your address book.","Usted no tiene más domicilios en la Libreta de domicilios."
"You have no default billing address in your address book.","Usted no tiene un domicilio de facturación predeterminado en su libreta de domicilios."
"You have no default shipping address in your address book.","Usted no tiene un domicilio de envío predeterminado en su libreta de domicilios."
"You have no primary entries in your address book.","Usted no tiene domicilios principales en si Libreta de domicilios."
"You have not set a primary billing address.","Usted no ha configurado un domicilio de facturación principal."
"You have not set a primary shipping address.","Usted no ha configurado un domicilio de envío principal."
"You have placed no orders yet.","Usted aún no ha puesto pedidos."
"You have placed no products yet.","Usted aún no han puesto productos."
"You're now Logged Out","Ya no estás en sesión"
"Your account balance is: %s","Tu saldo de la cuenta es: %s"
"ZIP","C.P."
"ZIP/Post Code","Código postal"
"ZIP/Postal Code","Código postal"
"Zip/Postal Code","Código postal"
"n/a","n/a"
"or","o"
"Please enter your email below and we'll send you a new password.","Introduzca su dirección de email más abajo y le enviaremos una contraseña nueva."
"First name can't be empty","El nombre no puede estar vacío "
"Last name can't be empty","El apellido no puede estar vacío "
"Password can't be empty","La contraseña no puede quedar vacía"
"My Account","Mi cuenta"
"Log In","Iniciar sesión"
"New Customers","Clientes nuevos"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Al crear una cuenta con nosotros podrá acelerar su compra, almacenar domicilios de envío, dar seguimiento a sus pedidos entre otros beneficios."
"Registered Customers","Clientes registrados"
"If you have an account with us, please log in.","Inicia sesión si ya habías registrado tu cuenta"
"Email Address","Dirección de email"
"Password","Contraseña"
"* Required Fields","* Obligatorio"
"Forgot Your Password?","¿Olvidaste tu contraseña?"
"Retrieve your password here","Recupere su contraseña aquí"
"Please enter your email address below. You will receive a link to reset your password.","Ingrese su dirección de correo y le enviaremos una nueva contraseña"
"Back to Login","Regresar al inicio de sesión"
"Submit","Enviar"
"My Dashboard","Panel de control"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Aquí podrás ver información de tu actividad reciente y actualizar tus datos."
"Contact Information","Información de contacto"
"Address Book","Domicilios"
"Account Information","Información de la cuenta"
"Thank you for registering with %s.","Gracias por crear una cuenta en %s"
"Newsletter Subscription","Suscripción al boletín de noticias"
"You have not set a default billing address.","No ha establecido un domicilio de facturación predeterminado."
"You have not set a default shipping address.","No ha establecido un domicilio de envío predeterminado."
"Login or Create an Account","Crear una cuenta o iniciar sesión"
"Personal Information","Información personal"
"Sign Up for Newsletter","Registrarme al boletín de noticias"
"You are currently not subscribed to any newsletter.","No está suscrito a algún boletín de noticias."
"Default Shipping Address","Domicilio de envío predeterminado"
"Login","Iniciar sesión"
"Invalid login or password.","Nombre de usuario o contraseña incorrectos"
"Edit Account Information","Datos de tu cuenta"
"Log Out","Cerrar sesión"
"First Name","Nombre"
"Last Name","Apellido"
"Sign Up","Crear una cuenta"
"Billing Agreements","Acuerdos de facturación"
"There are no billing agreements yet.","Aún no hay acuerdos de facturación."
"Recurring Profiles","Perfiles recurrentes"
"There are no recurring profiles yet.","Aún no hay perfiles recurrentes."
"My Applications","Mis aplicaciones"
"You have no applications.","Aún no hay aplicaciones."
