"%s was successfully added to your shopping cart.","%s fue añadido exitosamente a su carrito de compra."
"Update Total","Actualizar total"
"Use Billing Address","Usar domicilio de facturación"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Estamos procesando su pedido y en breve recibirá un Email con los detalles de su pedido. Una vez que su pedido fue enviada, usted recibirá otro correo electrónico con un link para seguir su proceso."
"You have no items in your shopping cart.","Usted no tiene artículos en su carrito de compra."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Recibirá un correo electrónico de confirmacón de su pedido con sus detalles y un enlace Web para continuar con su proceso."
"Your Checkout Progress","El progreso de su pago"
"Your order # is: %s","Su pedido # es: %s"
"Your order # is: <a href=""%s"">%s</a>.","El número de su pedido es: <a href=""%s"">%s</a>."
"Your order has been received","Hemos recibido su pedido"
"Your order number is ","El número de su pedido es "
"Zip/Postal Code","C.P./Código postal"
"osCommerce Orders","Pedidos osCommerce"
"separate by "",""","separado por "","""
"My Cart","Mi carrito"
"You have no items in your shopping cart.","No tiene artículos en su carrito de compras."
"Checkout","Pasar a caja"
"Shopping Cart is Empty","El carrito de compras está vacío."
"Please <a href=""%s"">continue shopping</a>.","<a href=""%s"">Continúe comprando</a>."
"Flat Rate","Flat Rate."
"Your order has been received.","Hemos recibido su pedido."
"Your order # is: <a href=""%s"">%s</a>.","Su número de pedido es: <a href=""%s"">%s</a>."
"Click <a href=""%s"">here</a> to continue shopping.","<a href=”%s”>De clic aquí</a> para continuar comprando."
"Cart","Carrito"
